6,82,103,129,161,256
-1,-1,410,432,458,562
521,634,665,694,725,854
823,922,940,964,989,1065
1020,1112,1131,1134,-1,-1
1020,1112,1154,1157,-1,-1
1160,1172,1174,1178,1183,1196
1183,1196,1199,1203,1206,1218
1206,1218,1222,1227,-1,-1
-1,-1,1247,1250,1253,1264
1253,1264,1268,1309,1339,1431
1506,1654,1677,1705,1736,1858
1797,1868,1875,1878,-1,-1
1881,1891,1895,1898,1902,1912
1902,1912,1914,1917,1919,1930
1919,1930,1933,1967,1981,2056
2117,2250,2262,2286,2305,2334
2305,2334,2353,2413,2500,2530
2305,2334,2473,2487,2500,2530
2500,2530,2556,2562,-1,-1
-1,-1,2581,2583,2587,2600
2587,2600,2604,2613,2622,2654
2622,2654,2661,2674,2686,2721
2686,2721,2733,2751,2766,2790
2766,2790,2794,2801,2809,2845
2820,2859,2863,2872,2878,2895
2878,2895,2902,2904,2907,2919
2907,2919,2922,2949,2972,3063
3006,3144,3157,3180,3197,3264
3210,3302,3314,3337,3352,3427
3375,3498,3510,3533,3546,3634
3582,3672,3683,3691,3697,3718
3697,3721,3725,3727,3732,3744
3732,3744,3750,3754,3759,3767
3759,3767,3773,3811,3839,4062
3944,4104,4132,4166,4185,4352
4225,4392,4415,4441,4468,4577
3388,5948,5962,5982,5994,6095
6027,6120,6142,6156,6177,6242
6177,6242,6250,6257,6269,6283
6269,6283,6289,6296,6306,6329
6306,6329,6333,6338,6344,6365
6344,6365,6369,6376,6381,6401
6381,6401,6405,6417,6437,6467
6437,6467,6474,6478,6486,6497
6486,6497,6505,6512,6517,6530
6517,6530,6535,6542,6546,6565
6546,6565,6570,6605,6623,6832
6723,6927,6963,7004,7078,7348
7138,7436,7493,7570,7665,8356
7706,8365,8430,8469,8497,8772
8497,8772,8816,8823,8827,8844
8827,8844,8848,8852,8858,8875
8858,8875,8879,8886,8892,8916
8892,8916,8924,8935,8943,8973
8946,8973,8980,8986,8990,9011
8990,9011,9016,9045,9076,9263
9076,9263,9287,9330,9366,9597
9408,9697,9735,9745,-1,-1
-1,-1,9856,9878,9899,10012
9899,10012,10026,10040,10056,10107
10056,10107,10113,10118,10126,10146
10126,10146,10153,10161,10168,10199
10168,10199,10206,10214,10224,10248
10224,10248,10256,10267,10279,10323
10279,10323,10329,10367,10394,10555
