216,297,313,340,370,443
-1,-1,621,647,666,750
762,862,875,902,927,1030
1055,1135,1151,1174,1210,1277
-1,-1,1478,1520,1600,1762
1668,1847,1888,1913,1940,2047
-1,-1,2144,2177,2204,2338
2285,2454,2473,2498,2512,2543
2512,2543,2254,2651,-1,-1
-1,-1,2683,2700,2714,2756
-1,-1,2815,2824,2833,2858
2833,2858,2871,2885,2892,2933
2892,2933,2943,2963,2976,2998
2976,2998,3005,3016,3037,3066
3037,3066,3074,3082,3090,3106
6117,6163,6172,6196,6216,6271
6281,6340,6353,6368,6380,6427
6397,6449,6460,6468,6476,6495
6476,6495,6500,6508,6515,6534
6515,6534,6543,6549,6559,6577
6559,6577,6580,6587,-1,-1
-1,-1,6616,6629,6641,6677
6641,6677,6685,6691,6698,6711
6698,6711,6716,6722,6727,6742
6727,6742,6745,6753,6758,6774
6758,6774,6780,6817,6840,6940
6898,7142,7173,7222,7247,7505
7318,7658,7704,7787,7912,8370
8204,8605,8641,8679,8724,8928
8786,9909,9027,9033,9040,9052
9040,9052,9059,9063,9070,9085
9070,9085,9090,9097,-1,-1
-1,-1,9135,9144,9154,9186
9154,9186,9191,9197,-1,-1
-1,-1,9227,9259,9274,9313
